YEAR,Region,Month,Precipitation
1918,Connecticut River,NOV,2.41556
1918,Connecticut River,DEC,3.46333
1918,Northeast,JAN,2.98952
1918,Northeast,FEB,2.8919
1918,Northeast,MAR,2.40857
1918,Northeast,APR,3.72952
1918,Northeast,MAY,1.60762
1918,Northeast,JUN,2.94286
1918,Northeast,JUL,3.79714
1918,Northeast,AUG,2.12762
1918,Northeast,SEP,8.86905
1918,Northeast,OCT,1.0681
1918,Northeast,NOV,2.35143
1918,Northeast,DEC,3.31524
1918,Southeast,JAN,3.75
1918,Southeast,FEB,3.26727
1918,Southeast,MAR,2.31091
1918,Southeast,APR,4.96364
1918,Southeast,MAY,1.28727
1918,Southeast,JUN,3.21727
1918,Southeast,JUL,4.02818
1918,Southeast,AUG,2.00182
1918,Southeast,SEP,6.17091
1918,Southeast,OCT,0.74182
1918,Southeast,NOV,2.33091
1918,Southeast,DEC,3.70273
1918,Western,JAN,2.89333
1918,Western,FEB,3.20667
1918,Western,MAR,2.08
1918,Western,APR,3.21667
1918,Western,MAY,3.18333
1918,Western,JUN,3.84333
1918,Western,JUL,2.4
1918,Western,AUG,4.51333
1918,Western,SEP,5.83333
1918,Western,OCT,2.20333
1918,Western,NOV,2.48
1918,Western,DEC,3.34333
1919,Cape Cod and Islands,JAN,5.27
1919,Cape Cod and Islands,FEB,3.67
1919,Cape Cod and Islands,MAR,5.34
1919,Cape Cod and Islands,APR,3.35
1919,Cape Cod and Islands,MAY,4.51
1919,Cape Cod and Islands,JUN,2.98
1919,Cape Cod and Islands,JUL,7.93
1919,Cape Cod and Islands,AUG,6.76
1919,Cape Cod and Islands,SEP,7.46
1919,Cape Cod and Islands,OCT,3.06
1919,Cape Cod and Islands,NOV,4.92
1919,Cape Cod and Islands,DEC,3.01
1919,Central,JAN,3.404
1919,Central,FEB,2.783
1919,Central,MAR,5.231
1919,Central,APR,2.761
1919,Central,MAY,5.90333
1919,Central,JUN,1.702
1919,Central,JUL,5.017
1919,Central,AUG,3.997
1919,Central,SEP,6.416
1919,Central,OCT,2.9
1919,Central,NOV,6.188
1919,Central,DEC,1.866
1919,Connecticut River,JAN,2.29
1919,Connecticut River,FEB,3.28667
1919,Connecticut River,MAR,5.41667
1919,Connecticut River,APR,2.98
1919,Connecticut River,MAY,6.88778
1919,Connecticut River,JUN,1.56556
1919,Connecticut River,JUL,4.97111
1919,Connecticut River,AUG,3.304
1919,Connecticut River,SEP,4.929
1919,Connecticut River,OCT,2.61714
1919,Connecticut River,NOV,6.13429
1919,Connecticut River,DEC,1.86643
1919,Northeast,JAN,3.71
1919,Northeast,FEB,3.21682
1919,Northeast,MAR,4.23045
1919,Northeast,APR,2.56682
1919,Northeast,MAY,5.25182
1919,Northeast,JUN,1.73773
1919,Northeast,JUL,3.90318
1919,Northeast,AUG,4.46773
1919,Northeast,SEP,5.73909
1919,Northeast,OCT,2.59136
1919,Northeast,NOV,5.99818
1919,Northeast,DEC,1.74273
1919,Southeast,JAN,4.76818
1919,Southeast,FEB,3.58727
1919,Southeast,MAR,4.757
1919,Southeast,APR,3.59
1919,Southeast,MAY,4.656
1919,Southeast,JUN,1.81
1919,Southeast,JUL,5.44
1919,Southeast,AUG,6.595
1919,Southeast,SEP,6.14636
1919,Southeast,OCT,2.34545
1919,Southeast,NOV,4.67182
1919,Southeast,DEC,2.51182
1919,Western,JAN,2.28333
1919,Western,FEB,2.73
1919,Western,MAR,4.68333
1919,Western,APR,2.29
1919,Western,MAY,7.25333
1919,Western,JUN,1.58667
1919,Western,JUL,4.36
1919,Western,AUG,3.57667
1919,Western,SEP,4.68667
1919,Western,OCT,3.2325
1919,Western,NOV,5.54
1919,Western,DEC,2.185
1920,Cape Cod and Islands,JAN,2.6
1920,Cape Cod and Islands,FEB,5.68
1920,Cape Cod and Islands,MAR,5.35
1920,Cape Cod and Islands,APR,5.79
1920,Cape Cod and Islands,MAY,5.41
1920,Cape Cod and Islands,JUN,6.77
1920,Cape Cod and Islands,JUL,2.85
1920,Cape Cod and Islands,AUG,1.83
1920,Cape Cod and Islands,SEP,2.25
1920,Cape Cod and Islands,OCT,4.1
1920,Cape Cod and Islands,NOV,3.65
1920,Cape Cod and Islands,DEC,4.79
1920,Central,JAN,2.706
1920,Central,FEB,5.346
1920,Central,MAR,4.268
1920,Central,APR,5.681
1920,Central,MAY,3.87818
1920,Central,JUN,5.78636
1920,Central,JUL,3.38455
1920,Central,AUG,3.84
1920,Central,SEP,6.13364
1920,Central,OCT,1.06
1920,Central,NOV,4.85909
1920,Central,DEC,5.88
1920,Connecticut River,JAN,2.415
1920,Connecticut River,FEB,4.6
1920,Connecticut River,MAR,3.71214
1920,Connecticut River,APR,5.78786
1920,Connecticut River,MAY,2.96286
1920,Connecticut River,JUN,6.72143
1920,Connecticut River,JUL,3.70929
1920,Connecticut River,AUG,4.69857
1920,Connecticut River,SEP,6.48923
1920,Connecticut River,OCT,1.37929
1920,Connecticut River,NOV,5.96714
1920,Connecticut River,DEC,5.75929
1920,Northeast,JAN,2.585
1920,Northeast,FEB,6.59182
1920,Northeast,MAR,4.00682
1920,Northeast,APR,5.54318
1920,Northeast,MAY,4.14045
1920,Northeast,JUN,6.28773
1920,Northeast,JUL,2.17227
1920,Northeast,AUG,2.18045
1920,Northeast,SEP,4.16409
1920,Northeast,OCT,1.33455
1920,Northeast,NOV,5.55909
1920,Northeast,DEC,4.55091
1920,Southeast,JAN,3.35909
1920,Southeast,FEB,6.32818
1920,Southeast,MAR,4.98273
1920,Southeast,APR,5.08364
1920,Southeast,MAY,4.76091
1920,Southeast,JUN,7.03455
1920,Southeast,JUL,2.67182
1920,Southeast,AUG,2.92
1920,Southeast,SEP,2.77909
1920,Southeast,OCT,1.84
1920,Southeast,NOV,4.425
1920,Southeast,DEC,3.90167
1920,Western,JAN,2.1
1920,Western,FEB,4.2075
1920,Western,MAR,3.4075
1920,Western,APR,6.1975
1920,Western,MAY,1.71
1920,Western,JUN,5.965
1920,Western,JUL,3.4725
1920,Western,AUG,4.5125
1920,Western,SEP,6.4025
1920,Western,OCT,1.6075
1920,Western,NOV,4.7525
1920,Western,DEC,4.58
1921,Cape Cod and Islands,JAN,2.4
1921,Cape Cod and Islands,FEB,1.47
1921,Cape Cod and Islands,MAR,3.68
1921,Cape Cod and Islands,APR,4.82
1921,Cape Cod and Islands,MAY,6.22
1921,Cape Cod and Islands,JUN,2.35
1921,Cape Cod and Islands,JUL,6.99
1921,Cape Cod and Islands,AUG,3.73
1921,Cape Cod and Islands,SEP,1.15
1921,Cape Cod and Islands,OCT,2.49
1921,Cape Cod and Islands,NOV,8.96
1921,Cape Cod and Islands,DEC,2.15
1921,Central,JAN,2.54364
1921,Central,FEB,2.98818
1921,Central,MAR,3.37636
1921,Central,APR,6.18
1921,Central,MAY,3.10909
1921,Central,JUN,3.40364
1921,Central,JUL,6.33364
1921,Central,AUG,2.79636
1921,Central,SEP,2.54455
1921,Central,OCT,2.07273
1921,Central,NOV,6.95091
1921,Central,DEC,2.70091
1921,Connecticut River,JAN,2.25643
1921,Connecticut River,FEB,2.96857
1921,Connecticut River,MAR,3.60714
1921,Connecticut River,APR,5.56533
1921,Connecticut River,MAY,3.11333
1921,Connecticut River,JUN,3.516
1921,Connecticut River,JUL,5.41333
1921,Connecticut River,AUG,2.92267
1921,Connecticut River,SEP,2.47067
1921,Connecticut River,OCT,1.846
1921,Connecticut River,NOV,6.418
1921,Connecticut River,DEC,1.83867
1921,Northeast,JAN,2.30318
1921,Northeast,FEB,3.02136
1921,Northeast,MAR,2.49591
1921,Northeast,APR,4.77591
1921,Northeast,MAY,3.11409
1921,Northeast,JUN,3.495
1921,Northeast,JUL,8.65864
1921,Northeast,AUG,1.70773
1921,Northeast,SEP,2.07864
1921,Northeast,OCT,1.545
1921,Northeast,NOV,7.52955
1921,Northeast,DEC,2.60818
1921,Southeast,JAN,2.94846
1921,Southeast,FEB,2.53846
1921,Southeast,MAR,3.26077
1921,Southeast,APR,5.32692
1921,Southeast,MAY,3.60231
1921,Southeast,JUN,3.4075
1921,Southeast,JUL,8.77917
1921,Southeast,AUG,2.24583
1921,Southeast,SEP,1.425
1921,Southeast,OCT,1.19214
1921,Southeast,NOV,7.34857
1921,Southeast,DEC,2.60857
1921,Western,JAN,2.235
1921,Western,FEB,2.505
1921,Western,MAR,5.1575
1921,Western,APR,4.6775
1921,Western,MAY,1.5975
1921,Western,JUN,3.0125
1921,Western,JUL,4.395
1921,Western,AUG,4.0375
1921,Western,SEP,2.91
1921,Western,OCT,1.99
1921,Western,NOV,5.805
1921,Western,DEC,1.8625
1922,Cape Cod and Islands,JAN,1.9
1922,Cape Cod and Islands,FEB,3.51
1922,Cape Cod and Islands,MAR,6.05
1922,Cape Cod and Islands,APR,2.32
1922,Cape Cod and Islands,MAY,4.83
1922,Cape Cod and Islands,JUN,3.93
1922,Cape Cod and Islands,JUL,4.26
1922,Cape Cod and Islands,AUG,6.39
1922,Cape Cod and Islands,SEP,1.95
1922,Cape Cod and Islands,OCT,3.7
1922,Cape Cod and Islands,NOV,1.42
1922,Cape Cod and Islands,DEC,4.09
1922,Central,JAN,1.73545
1922,Central,FEB,2.87636
1922,Central,MAR,5.274
1922,Central,APR,2.11636
1922,Central,MAY,4.28
1922,Central,JUN,9.89364
1922,Central,JUL,5.20909
1922,Central,AUG,4.90818
1922,Central,SEP,3.62909
1922,Central,OCT,2.98455
1922,Central,NOV,1.59455
1922,Central,DEC,3.40727
1922,Connecticut River,JAN,1.74133
1922,Connecticut River,FEB,2.70333
1922,Connecticut River,MAR,5.61286
1922,Connecticut River,APR,2.69333
1922,Connecticut River,MAY,5.796
1922,Connecticut River,JUN,7.89692
1922,Connecticut River,JUL,5.20267
1922,Connecticut River,AUG,4.41571
1922,Connecticut River,SEP,2.59533
1922,Connecticut River,OCT,2.914
1922,Connecticut River,NOV,1.51333
1922,Connecticut River,DEC,3.332
1922,Northeast,JAN,1.88136
1922,Northeast,FEB,3.05455
1922,Northeast,MAR,4.88
1922,Northeast,APR,1.945
1922,Northeast,MAY,5.45909
1922,Northeast,JUN,10.0314
1922,Northeast,JUL,4.95591
1922,Northeast,AUG,4.56455
1922,Northeast,SEP,3.71955
1922,Northeast,OCT,2.52318
1922,Northeast,NOV,1.18864
1922,Northeast,DEC,3.47273
1922,Southeast,JAN,2.04214
1922,Southeast,FEB,3.43357
1922,Southeast,MAR,5.62071
1922,Southeast,APR,2.055
1922,Southeast,MAY,4.48
1922,Southeast,JUN,6.62462
1922,Southeast,JUL,4.564
1922,Southeast,AUG,8.526
1922,Southeast,SEP,3.01333
1922,Southeast,OCT,2.908
1922,Southeast,NOV,1.23933
1922,Southeast,DEC,3.588
1922,Western,JAN,1.9225
1922,Western,FEB,2.6625
1922,Western,MAR,6.5675
1922,Western,APR,2.21
1922,Western,MAY,5.4125
1922,Western,JUN,7.3575
1922,Western,JUL,4.395
1922,Western,AUG,5.5525
1922,Western,SEP,1.6875
1922,Western,OCT,2.7325
1922,Western,NOV,1.58
1922,Western,DEC,2.3625
1923,Cape Cod and Islands,JAN,4.29
1923,Cape Cod and Islands,FEB,0.99
1923,Cape Cod and Islands,MAR,5.6
1923,Cape Cod and Islands,APR,6.27
1923,Cape Cod and Islands,MAY,1.07
1923,Cape Cod and Islands,JUN,3.31
1923,Cape Cod and Islands,JUL,4.17
1923,Cape Cod and Islands,AUG,2.34
1923,Cape Cod and Islands,SEP,1.69
1923,Cape Cod and Islands,OCT,4.43
1923,Cape Cod and Islands,NOV,1.98
1923,Cape Cod and Islands,DEC,5.05
1923,Central,JAN,6.39545
1923,Central,FEB,1.96273
1923,Central,MAR,2.67455
1923,Central,APR,5.17636
1923,Central,MAY,1.55
1923,Central,JUN,3.54182
1923,Central,JUL,2.89273
1923,Central,AUG,2.83818
1923,Central,SEP,1.76273
1923,Central,OCT,5.20273
1923,Central,NOV,5.24364
1923,Central,DEC,4.59182
1923,Connecticut River,JAN,5.91571
1923,Connecticut River,FEB,2.03067
1923,Connecticut River,MAR,2.12667
1923,Connecticut River,APR,3.80267
1923,Connecticut River,MAY,2.89067
1923,Connecticut River,JUN,3.45533
1923,Connecticut River,JUL,2.916
1923,Connecticut River,AUG,3.16133
1923,Connecticut River,SEP,2.72067
1923,Connecticut River,OCT,6.41133
1923,Connecticut River,NOV,4.49267
1923,Connecticut River,DEC,4.60867
1923,Northeast,JAN,6.99909
1923,Northeast,FEB,1.98955
1923,Northeast,MAR,2.97591
1923,Northeast,APR,5.29455
1923,Northeast,MAY,1.47773
1923,Northeast,JUN,2.78636
1923,Northeast,JUL,2.81545
1923,Northeast,AUG,2.27136
1923,Northeast,SEP,0.82409
1923,Northeast,OCT,4.18727
1923,Northeast,NOV,4.10045
1923,Northeast,DEC,5.11909
1923,Southeast,JAN,6.37533
1923,Southeast,FEB,1.88733
1923,Southeast,MAR,3.94533
1923,Southeast,APR,5.60533
1923,Southeast,MAY,1.09867
1923,Southeast,JUN,3.57133
1923,Southeast,JUL,3.04667
1923,Southeast,AUG,2.62533
1923,Southeast,SEP,1.54267
1923,Southeast,OCT,4.62333
1923,Southeast,NOV,2.94333
1923,Southeast,DEC,5.15867
1923,Western,JAN,5.115
1923,Western,FEB,1.715
1923,Western,MAR,1.7275
1923,Western,APR,2.8775
1923,Western,MAY,3.3675
1923,Western,JUN,4.1
1923,Western,JUL,3.9725
1923,Western,AUG,3.6925
1923,Western,SEP,3.685
1923,Western,OCT,6.085
1923,Western,NOV,3.045
1923,Western,DEC,3.52
1924,Cape Cod and Islands,JAN,3.92
1924,Cape Cod and Islands,FEB,3.05
1924,Cape Cod and Islands,MAR,3.19
1924,Cape Cod and Islands,APR,6.28
1924,Cape Cod and Islands,MAY,2.95
1924,Cape Cod and Islands,JUN,2.48
1924,Cape Cod and Islands,JUL,1.32
1924,Cape Cod and Islands,AUG,8.98
1924,Cape Cod and Islands,SEP,3.15
1924,Cape Cod and Islands,OCT,0.38
1924,Cape Cod and Islands,NOV,2.11
1924,Cape Cod and Islands,DEC,2.32
1924,Central,JAN,4.19455
1924,Central,FEB,2.23182
1924,Central,MAR,1.88909
1924,Central,APR,5.90182
1924,Central,MAY,3.08273
1924,Central,JUN,1.98
1924,Central,JUL,2.772
1924,Central,AUG,4.129
1924,Central,SEP,5.151
1924,Central,OCT,0.091
1924,Central,NOV,3.138
1924,Central,DEC,1.927
1924,Connecticut River,JAN,3.88929
1924,Connecticut River,FEB,2.28429
1924,Connecticut River,MAR,1.03643
1924,Connecticut River,APR,6.20267
1924,Connecticut River,MAY,3.64429
1924,Connecticut River,JUN,1.82267
1924,Connecticut River,JUL,2.12133
1924,Connecticut River,AUG,3.65067
1924,Connecticut River,SEP,6.12154
1924,Connecticut River,OCT,0.12533
1924,Connecticut River,NOV,3.12867
1924,Connecticut River,DEC,2.10786
1924,Northeast,JAN,3.74364
1924,Northeast,FEB,2.58682
1924,Northeast,MAR,2.11455
1924,Northeast,APR,4.47364
1924,Northeast,MAY,3.28409
1924,Northeast,JUN,2.29545
1924,Northeast,JUL,2.18455
1924,Northeast,AUG,5.80818
1924,Northeast,SEP,6.41136
1924,Northeast,OCT,0.13182
1924,Northeast,NOV,2.61364
1924,Northeast,DEC,1.76818
1924,Southeast,JAN,3.97533
1924,Southeast,FEB,3.15
1924,Southeast,MAR,3.22733
1924,Southeast,APR,5.63467
1924,Southeast,MAY,2.852
1924,Southeast,JUN,2.18267
1924,Southeast,JUL,1.646
1924,Southeast,AUG,6.97533
1924,Southeast,SEP,4.81267
1924,Southeast,OCT,0.17067
1924,Southeast,NOV,1.88067
1924,Southeast,DEC,1.984
1924,Western,JAN,3.2325
1924,Western,FEB,2.115
1924,Western,MAR,1.3525
1924,Western,APR,6.39
1924,Western,MAY,3.7475
1924,Western,JUN,2.02
1924,Western,JUL,3.31
1924,Western,AUG,3.7925
1924,Western,SEP,8.115
1924,Western,OCT,0.06
1924,Western,NOV,3.2625
1924,Western,DEC,1.9975
1925,Cape Cod and Islands,JAN,1.66
1925,Cape Cod and Islands,FEB,1.97
1925,Cape Cod and Islands,MAR,3.14
1925,Cape Cod and Islands,APR,3.3
1925,Cape Cod and Islands,MAY,3.57
1925,Cape Cod and Islands,JUN,4.01
1925,Cape Cod and Islands,JUL,3.55
1925,Cape Cod and Islands,AUG,1.31
1925,Cape Cod and Islands,SEP,3.52
1925,Cape Cod and Islands,OCT,5.1
1925,Cape Cod and Islands,NOV,4.22
1925,Cape Cod and Islands,DEC,3.7
1925,Central,JAN,2.745
1925,Central,FEB,2.534
1925,Central,MAR,5.009
1925,Central,APR,3.132
1925,Central,MAY,2.621
1925,Central,JUN,4.505
1925,Central,JUL,6.172
1925,Central,AUG,2.191
1925,Central,SEP,3.367
1925,Central,OCT,4.27
1925,Central,NOV,3.681
1925,Central,DEC,3.162
1925,Connecticut River,JAN,3.086
1925,Connecticut River,FEB,3.678
1925,Connecticut River,MAR,4.17467
1925,Connecticut River,APR,3.05
1925,Connecticut River,MAY,2.54333
1925,Connecticut River,JUN,4.36667
1925,Connecticut River,JUL,6.09071
1925,Connecticut River,AUG,2.32467
1925,Connecticut River,SEP,3.51267
1925,Connecticut River,OCT,4.18467
1925,Connecticut River,NOV,3.822
1925,Connecticut River,DEC,2.99867
1925,Northeast,JAN,3.96955
1925,Northeast,FEB,2.17955
1925,Northeast,MAR,6.315
1925,Northeast,APR,2.72
1925,Northeast,MAY,2.20136
1925,Northeast,JUN,3.94818
1925,Northeast,JUL,3.78773
1925,Northeast,AUG,1.92545
1925,Northeast,SEP,3.05682
1925,Northeast,OCT,4.87364
1925,Northeast,NOV,3.77636
1925,Northeast,DEC,5.55174
1925,Southeast,JAN,3.68733
1925,Southeast,FEB,1.94933
1925,Southeast,MAR,4.172
1925,Southeast,APR,2.486
1925,Southeast,MAY,2.75933
1925,Southeast,JUN,2.568
1925,Southeast,JUL,4.63467
1925,Southeast,AUG,1.68333
1925,Southeast,SEP,4.28067
1925,Southeast,OCT,4.21667
1925,Southeast,NOV,4.01933
1925,Southeast,DEC,4.32133
1925,Western,JAN,2.6225
1925,Western,FEB,3.075
1925,Western,MAR,4.23
1925,Western,APR,3.615
1925,Western,MAY,3.615
1925,Western,JUN,4.84
1925,Western,JUL,7.92
1925,Western,AUG,1.725
1925,Western,SEP,3.525
1925,Western,OCT,3.65
1925,Western,NOV,3.9125
1925,Western,DEC,1.9225
1926,Cape Cod and Islands,JAN,3.55
1926,Cape Cod and Islands,FEB,4.2
1926,Cape Cod and Islands,MAR,2.67
1926,Cape Cod and Islands,APR,2.28
1926,Cape Cod and Islands,MAY,5.12
1926,Cape Cod and Islands,JUN,3.48
1926,Cape Cod and Islands,JUL,3.14
1926,Cape Cod and Islands,AUG,4.27
1926,Cape Cod and Islands,SEP,1.81
1926,Cape Cod and Islands,OCT,8.34
1926,Cape Cod and Islands,NOV,3.78
1926,Cape Cod and Islands,DEC,2.75
1926,Central,JAN,2.776
1926,Central,FEB,4.548
1926,Central,MAR,3.083
1926,Central,APR,2.377
1926,Central,MAY,1.812
1926,Central,JUN,2.412
1926,Central,JUL,3.81
1926,Central,AUG,3.037
1926,Central,SEP,1.588
1926,Central,OCT,5.164
1926,Central,NOV,5.465
1926,Central,DEC,3.394
1926,Connecticut River,JAN,2.83294
1926,Connecticut River,FEB,4.24647
1926,Connecticut River,MAR,3.38471
1926,Connecticut River,APR,2.75941
1926,Connecticut River,MAY,1.74706
1926,Connecticut River,JUN,2.38059
1926,Connecticut River,JUL,3.79259
1926,Connecticut River,AUG,3.72235
1926,Connecticut River,SEP,1.97
1926,Connecticut River,OCT,5.08176
1926,Connecticut River,NOV,5.57
1926,Connecticut River,DEC,2.93
1926,Northeast,JAN,2.65696
1926,Northeast,FEB,5.22957
1926,Northeast,MAR,2.80957
1926,Northeast,APR,2.35478
1926,Northeast,MAY,2.42957
1926,Northeast,JUN,1.86217
1926,Northeast,JUL,3.17565
1926,Northeast,AUG,3.62087
1926,Northeast,SEP,1.34
1926,Northeast,OCT,4.23435
1926,Northeast,NOV,4.31304
1926,Northeast,DEC,3.50739
1926,Southeast,JAN,2.85
1926,Southeast,FEB,4.87933
1926,Southeast,MAR,3.118
1926,Southeast,APR,2.16933
1926,Southeast,MAY,3.10533
1926,Southeast,JUN,2.43
1926,Southeast,JUL,3.42667
1926,Southeast,AUG,3.70267
1926,Southeast,SEP,1.366
1926,Southeast,OCT,5.81867
1926,Southeast,NOV,4.96
1926,Southeast,DEC,3.444
1926,Western,JAN,2.49
1926,Western,FEB,3.85
1926,Western,MAR,2.735
1926,Western,APR,2.7375
1926,Western,MAY,2.07
1926,Western,JUN,3.52
1926,Western,JUL,3.99
1926,Western,AUG,4.91
1926,Western,SEP,2.4675
1926,Western,OCT,5.2625
1926,Western,NOV,4.685
1926,Western,DEC,2.61
1927,Cape Cod and Islands,JAN,2.5
1927,Cape Cod and Islands,FEB,2.85
1927,Cape Cod and Islands,MAR,1.42
1927,Cape Cod and Islands,APR,1.8
1927,Cape Cod and Islands,MAY,2.46
1927,Cape Cod and Islands,JUN,6.46
1927,Cape Cod and Islands,JUL,4.15
1927,Cape Cod and Islands,AUG,8.02
1927,Cape Cod and Islands,SEP,3.85
1927,Cape Cod and Islands,OCT,3.86
1927,Cape Cod and Islands,NOV,4.76
1927,Cape Cod and Islands,DEC,5.69
1927,Central,JAN,2.745
1927,Central,FEB,3.6
1927,Central,MAR,1.627
1927,Central,APR,2.06909
1927,Central,MAY,4.01636
1927,Central,JUN,3.15182
1927,Central,JUL,5.32182
1927,Central,AUG,6.62636
1927,Central,SEP,2.52636
1927,Central,OCT,5.20273
1927,Central,NOV,7.07273
1927,Central,DEC,5.8625
1927,Connecticut River,JAN,2.62294
1927,Connecticut River,FEB,3.45
1927,Connecticut River,MAR,1.84529
1927,Connecticut River,APR,2.18235
1927,Connecticut River,MAY,4.70647
1927,Connecticut River,JUN,3.96059
1927,Connecticut River,JUL,5.08176
1927,Connecticut River,AUG,6.60412
1927,Connecticut River,SEP,2.52118
1927,Connecticut River,OCT,5.54
1927,Connecticut River,NOV,8.75824
1927,Connecticut River,DEC,5.42529
1927,Northeast,JAN,2.63043
1927,Northeast,FEB,3.49348
1927,Northeast,MAR,1.3687
1927,Northeast,APR,1.6713
1927,Northeast,MAY,2.87565
1927,Northeast,JUN,2.14522
1927,Northeast,JUL,4.08478
1927,Northeast,AUG,7.66696
1927,Northeast,SEP,3.44957
1927,Northeast,OCT,4.33435
1927,Northeast,NOV,5.28273
1927,Northeast,DEC,5.37917
1927,Southeast,JAN,2.90438
1927,Southeast,FEB,3.10875
1927,Southeast,MAR,1.41125
1927,Southeast,APR,1.845
1927,Southeast,MAY,2.32313
1927,Southeast,JUN,2.44125
1927,Southeast,JUL,4.1125
1927,Southeast,AUG,10.3756
1927,Southeast,SEP,3.27875
1927,Southeast,OCT,3.9825
1927,Southeast,NOV,4.81375
1927,Southeast,DEC,5.14125
1927,Western,JAN,2.6175
1927,Western,FEB,3.3
1927,Western,MAR,2.01
1927,Western,APR,1.58
1927,Western,MAY,4.805
1927,Western,JUN,2.8975
1927,Western,JUL,5.86
1927,Western,AUG,6.26
1927,Western,SEP,2.22
1927,Western,OCT,6.6975
1927,Western,NOV,11.04
1927,Western,DEC,4.92
1928,Cape Cod and Islands,JAN,3.37
1928,Cape Cod and Islands,FEB,5.13
1928,Cape Cod and Islands,MAR,3.6
1928,Cape Cod and Islands,APR,4.94
1928,Cape Cod and Islands,MAY,2.8
1928,Cape Cod and Islands,JUN,5.58
1928,Cape Cod and Islands,JUL,4.26
1928,Cape Cod and Islands,AUG,0.8
1928,Cape Cod and Islands,SEP,8.04
1928,Cape Cod and Islands,OCT,1.19
1928,Cape Cod and Islands,NOV,3.82
1928,Cape Cod and Islands,DEC,3.14
1928,Central,JAN,2.5225
1928,Central,FEB,3.27833
1928,Central,MAR,1.92917
1928,Central,APR,4.7675
1928,Central,MAY,2.36417
1928,Central,JUN,6.91417
1928,Central,JUL,5.84083
1928,Central,AUG,6.43333
1928,Central,SEP,3.47667
1928,Central,OCT,2.07833
1928,Central,NOV,2.1325
1928,Central,DEC,1.6675
1928,Connecticut River,JAN,2.55176
1928,Connecticut River,FEB,3.21882
1928,Connecticut River,MAR,2.15882
1928,Connecticut River,APR,4.62176
1928,Connecticut River,MAY,2.98294
1928,Connecticut River,JUN,6.89941
1928,Connecticut River,JUL,6.2
1928,Connecticut River,AUG,8.15647
1928,Connecticut River,SEP,3.36412
1928,Connecticut River,OCT,1.01
1928,Connecticut River,NOV,1.97412
1928,Connecticut River,DEC,1.15235
1928,Northeast,JAN,2.23042
1928,Northeast,FEB,3.28417
1928,Northeast,MAR,1.65333
1928,Northeast,APR,5.0375
1928,Northeast,MAY,2.99833
1928,Northeast,JUN,5.71
1928,Northeast,JUL,4.305
1928,Northeast,AUG,3.8275
1928,Northeast,SEP,4.39458
1928,Northeast,OCT,2.95833
1928,Northeast,NOV,2.04125
1928,Northeast,DEC,2.95375
1928,Southeast,JAN,2.68688
1928,Southeast,FEB,3.8
1928,Southeast,MAR,2.66938
1928,Southeast,APR,4.54875
1928,Southeast,MAY,1.97813
1928,Southeast,JUN,4.85688
1928,Southeast,JUL,4.4175
1928,Southeast,AUG,2.23375
1928,Southeast,SEP,4.77063
1928,Southeast,OCT,3.19438
1928,Southeast,NOV,2.1225
1928,Southeast,DEC,3.16688
1928,Western,JAN,2.165
1928,Western,FEB,2.8675
1928,Western,MAR,1.755
1928,Western,APR,3.9825
1928,Western,MAY,2.6825
1928,Western,JUN,6.5275
1928,Western,JUL,6.405
1928,Western,AUG,9.075
1928,Western,SEP,2.6775
1928,Western,OCT,1.1875
1928,Western,NOV,1.91
1928,Western,DEC,1.0125
1929,Cape Cod and Islands,JAN,2.75
1929,Cape Cod and Islands,FEB,3.99
1929,Cape Cod and Islands,MAR,3.825
1929,Cape Cod and Islands,APR,6.305
1929,Cape Cod and Islands,MAY,5.53
1929,Cape Cod and Islands,JUN,0.39
1929,Cape Cod and Islands,JUL,1.21
1929,Cape Cod and Islands,AUG,4.315
1929,Cape Cod and Islands,SEP,6.905
1929,Cape Cod and Islands,OCT,2.325
1929,Cape Cod and Islands,NOV,2.725
1929,Cape Cod and Islands,DEC,4.105
1929,Central,JAN,4.22417
1929,Central,FEB,3.48
1929,Central,MAR,3.31333
1929,Central,APR,6.04
1929,Central,MAY,4.32385
1929,Central,JUN,3.51923
1929,Central,JUL,0.99769
1929,Central,AUG,2.02
1929,Central,SEP,2.97692
1929,Central,OCT,2.46385
1929,Central,NOV,2.75385
1929,Central,DEC,3.23385
1929,Connecticut River,JAN,3.96647
1929,Connecticut River,FEB,3.66353
1929,Connecticut River,MAR,3.26824
1929,Connecticut River,APR,6.67
1929,Connecticut River,MAY,4.31
1929,Connecticut River,JUN,2.48471
1929,Connecticut River,JUL,0.79
1929,Connecticut River,AUG,2.05588
1929,Connecticut River,SEP,3.13688
1929,Connecticut River,OCT,3.91941
1929,Connecticut River,NOV,2.74765
1929,Connecticut River,DEC,3.70235
1929,Northeast,JAN,3.50833
1929,Northeast,FEB,3.67
1929,Northeast,MAR,3.43333
1929,Northeast,APR,7.25708
1929,Northeast,MAY,3.5575
1929,Northeast,JUN,2.41
1929,Northeast,JUL,1.27125
1929,Northeast,AUG,2.43958
1929,Northeast,SEP,1.76458
1929,Northeast,OCT,2.63875
1929,Northeast,NOV,2.97417
1929,Northeast,DEC,3.99583
1929,Southeast,JAN,3.785
1929,Southeast,FEB,3.6675
1929,Southeast,MAR,4.03313
1929,Southeast,APR,7.46375
1929,Southeast,MAY,3.435
1929,Southeast,JUN,1.20813
1929,Southeast,JUL,2.53375
1929,Southeast,AUG,2.95625
